enabled;id;section;name;platform;table;address;data_type;bit;scale;offset;precision;min;max;step;unit;device_class;state_class;read;write;inverted;read_after_write;byte_order;word_order;command_mode;pulse_ms;active_value;return_value;select_options;icon;notes
oui;backwash_request;Backwash;Demande de backwash;switch;coil;0;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:filter-cog;
oui;valve_garden_command;Arrivée d'eau;Vanne sortie jardin — commande;switch;coil;1;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:valve;
oui;valve_sewer_command;Arrivée d'eau;Vanne égout — commande;switch;coil;2;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:valve;
oui;valve_well_command;Arrivée d'eau;Vanne arrivée puits — commande;switch;coil;3;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:valve;
oui;valve_bypass_command;Arrivée d'eau;Vanne bypass — commande;switch;coil;4;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:valve;
oui;valve_city_water_command;Arrivée d'eau;Vanne eau de ville — commande;switch;coil;5;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:valve;
oui;filter_pressure_delta_command;Backwash;Appliquer le seuil backwash;button;coil;6;bool;;1.0;0.0;;;;;;;;non;oui;non;oui;big;big;pulse;300;1;0;;mdi:check-decagram-outline;CODESYS : mSet_PressionDifferentiel (Coil 6). Impulsion d’application du seuil HR64.
oui;lawn_start;Arrosage gazon;Démarrer arrosage gazon;button;coil;16;bool;;1.0;0.0;;;;;;;;non;oui;non;oui;big;big;pulse;300;1;0;;mdi:play;
oui;lawn_stop;Arrosage gazon;Arrêter arrosage gazon;button;coil;17;bool;;1.0;0.0;;;;;;;;non;oui;non;oui;big;big;pulse;300;1;0;;mdi:stop;
oui;lawn_terrace_manual;Arrosage gazon;Gazon terrasse — manuel;switch;coil;18;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:sprinkler;
oui;lawn_slope_manual;Arrosage gazon;Gazon butte — manuel;switch;coil;19;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:sprinkler;
oui;lawn_pool_manual;Arrosage gazon;Gazon piscine — manuel;switch;coil;20;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:sprinkler;
oui;lawn_poolhouse_manual;Arrosage gazon;Gazon pool house — manuel;switch;coil;21;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:sprinkler;CODESYS : Arrosage_Gazon.xCmd_Manu[4] = Coil 21.
oui;lawn_circuit5_manual;Arrosage gazon;Circuit gazon 5 — manuel;switch;coil;22;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:sprinkler;CODESYS : xCmd_Manu[5].
oui;lawn_terrace_enabled;Arrosage gazon;Gazon terrasse — autorisé;switch;coil;23;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:sprinkler-variant;CODESYS : xEnableCircuit[1].
oui;lawn_slope_enabled;Arrosage gazon;Gazon butte — autorisé;switch;coil;24;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:sprinkler-variant;CODESYS : xEnableCircuit[2].
oui;lawn_pool_enabled;Arrosage gazon;Gazon piscine — autorisé;switch;coil;25;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:sprinkler-variant;CODESYS : xEnableCircuit[3].
oui;lawn_poolhouse_enabled;Arrosage gazon;Gazon pool house — autorisé;switch;coil;26;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:sprinkler-variant;CODESYS : xEnableCircuit[4].
oui;lawn_circuit5_enabled;Arrosage gazon;Circuit gazon 5 — autorisé;switch;coil;27;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:sprinkler-variant;CODESYS : xEnableCircuit[5].
oui;lawn_reverse_order;Arrosage gazon;Inverser l’ordre des circuits;switch;coil;28;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:swap-vertical;CODESYS : xReverseOrder.
oui;lawn_resume_after_manual;Arrosage gazon;Reprendre le cycle après manuel;switch;coil;29;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:play-circle-outline;CODESYS : xResumeAfterManual.
oui;drip_start;Arrosage goutte-à-goutte;Démarrer goutte-à-goutte;button;coil;32;bool;;1.0;0.0;;;;;;;;non;oui;non;oui;big;big;pulse;300;1;0;;mdi:play;
oui;drip_stop;Arrosage goutte-à-goutte;Arrêter goutte-à-goutte;button;coil;33;bool;;1.0;0.0;;;;;;;;non;oui;non;oui;big;big;pulse;300;1;0;;mdi:stop;
oui;drip_hedge_path_manual;Arrosage goutte-à-goutte;Haies chemin — manuel;switch;coil;34;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:water-outline;Confirmé CODESYS : Arrosage_GG.xCmd_GG_Manu[1] = Coil 34.
oui;drip_circuit2_manual;Arrosage goutte-à-goutte;Circuit GG 2 — manuel;switch;coil;35;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:water-outline;CODESYS : xCmd_GG_Manu[2].
oui;drip_circuit3_manual;Arrosage goutte-à-goutte;Circuit GG 3 — manuel;switch;coil;36;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:water-outline;CODESYS : xCmd_GG_Manu[3].
oui;drip_circuit4_manual;Arrosage goutte-à-goutte;Circuit GG 4 — manuel;switch;coil;37;bool;;1.0;0.0;;;;;;;;oui;oui;non;oui;big;big;normal;300;1;0;;mdi:water-outline;CODESYS : xCmd_GG_Manu[4].
